역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
224,서초,승차,05시-06시,"Triangular(min=53.273, mode=71.000, max=86.770)","(np.float64(0.5292091967793071), np.float64(53.27326591519934), np.float64(33.49664777691465))",183,"Lognormal(normalMean=6.945, normalStdDev=0.018)","(np.float64(0.01783498978176602), -985.149145404044, np.float64(1038.371093699727))",155,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,06시-07시,"Triangular(min=0.000, mode=402.000, max=410.950)","(np.float64(0.9782213076192332), 0, np.float64(410.9499526657516))",200,"Triangular(min=0.000, mode=367.000, max=402.739)","(np.float64(0.9112612215380651), 0, np.float64(402.7385245869889))",154,평일,2,"['mean', 'median']"
224,서초,승차,07시-08시,"Triangular(min=0.000, mode=746.000, max=1402.941)","(np.float64(0.5317401172066659), 0, np.float64(1402.9409778540298))",208,"Triangular(min=18.997, mode=18.999, max=1138.993)","(np.float64(1.8421785191642173e-06), np.float64(18.997313435364262), np.float64(1119.9957450575062))",153,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,08시-09시,"Triangular(min=0.000, mode=1305.000, max=1473.013)","(np.float64(0.8859390276653842), 0, np.float64(1473.0133330149952))",208,"Lognormal(normalMean=5.741, normalStdDev=0.977)","(np.float64(0.9771692387274346), 72.05320214399518, np.float64(311.2234259630499))",156,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,09시-10시,"Triangular(min=603.594, mode=1109.000, max=1257.820)","(np.float64(0.7725247669694738), np.float64(603.5935355776253), np.float64(654.2268753409687))",197,"Weibull(shape=6.278, scale=1050.282)","(np.float64(6.27841985373188), np.float64(-184.27311847285267), np.float64(1050.2823855037032))",137,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,10시-11시,"Lognormal(normalMean=5.878, normalStdDev=0.177)","(np.float64(0.1770042938762831), 454.4589024893099, np.float64(357.0599497733817))",149,"Triangular(min=63.482, mode=760.000, max=1217.201)","(np.float64(0.6037155479035434), np.float64(63.48172982040964), np.float64(1153.7192848477728))",155,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,11시-12시,"Lognormal(normalMean=5.730, normalStdDev=0.268)","(np.float64(0.26809052861036514), 563.5278673773182, np.float64(307.99064490585585))",177,"Triangular(min=111.027, mode=1767.000, max=1767.000)","(np.float64(0.9999999985276011), np.float64(111.02653354031304), np.float64(1655.9738385464943))",149,주말,2,"['mean', 'median']"
224,서초,승차,12시-13시,"Triangular(min=651.369, mode=847.000, max=1067.681)","(np.float64(0.4699143691181835), np.float64(651.368754907913), np.float64(416.31254105499397))",190,"Gamma(alpha=1436.588, beta=4.202)","(np.float64(1436.588258617202), np.float64(-5144.008472473717), np.float64(4.202224670621529))",136,주말,3,"['mean', 'median', 'mode']"
224,서초,승차,13시-14시,"Triangular(min=673.374, mode=1025.000, max=1277.938)","(np.float64(0.5816192754106151), np.float64(673.3740016586628), np.float64(604.5638671571264))",195,"Triangular(min=489.112, mode=1059.000, max=2259.290)","(np.float64(0.32193819355489484), np.float64(489.1122603554294), np.float64(1770.177478329685))",153,주말,3,"['mean', 'median', 'mode']"
224,서초,승차,14시-15시,"Triangular(min=557.658, mode=1300.000, max=1564.848)","(np.float64(0.7370426856941208), np.float64(557.6584534945771), np.float64(1007.1893539612631))",202,"Triangular(min=617.959, mode=1055.000, max=1551.723)","(np.float64(0.46804226542011973), np.float64(617.9589570810722), np.float64(933.7640533979686))",148,평일,3,"['mean', 'median', 'mode']"
224,서초,승차,15시-16시,"Triangular(min=482.256, mode=1642.000, max=1832.634)","(np.float64(0.8588289939811771), np.float64(482.2563088336236), np.float64(1350.37789745501))",204,"Triangular(min=251.920, mode=1719.000, max=2173.653)","(np.float64(0.7634151212374671), np.float64(251.9198226820934), np.float64(1921.7331914275355))",155,평일,2,"['mean', 'median']"
