역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
246,신설동,하차,22시-23시,"Weibull(shape=3.161, scale=54.464)","(np.float64(3.161149925622479), np.float64(72.2112696250282), np.float64(54.46354732229375))",198,"Gamma(alpha=32.683, beta=3.780)","(np.float64(32.683345946034194), np.float64(-16.125809966422395), np.float64(3.7797141182383225))",152,평일,3,"['mean', 'median', 'mode']"
246,신설동,하차,23시-24시,"Lognormal(normalMean=4.356, normalStdDev=0.206)","(np.float64(0.20613912122674408), -0.3577910205919796, np.float64(77.98307908260321))",193,"Normal(mean=86.066, stdDev=18.437)","(np.float64(86.0657894736842), np.float64(18.43683064891391))",152,주말,3,"['mean', 'median', 'mode']"
246,신설동,하차,24시-01시,"Weibull(shape=1.405, scale=22.670)","(np.float64(1.404805293504643), np.float64(20.765614615798473), np.float64(22.669829684918376))",168,"Triangular(min=2.995, mode=2.995, max=142.449)","(np.float64(2.510434954514333e-13), np.float64(2.9948763620579117), np.float64(139.45370247796365))",156,평일,2,"['median', 'mode']"
246,신설동,하차,01시-02시,"Triangular(min=133.430, mode=167.000, max=209.881)","(np.float64(0.4391029228540949), np.float64(133.4304531252851), np.float64(76.4502922456947))",192,"Triangular(min=73.791, mode=199.000, max=285.018)","(np.float64(0.592769257909175), np.float64(73.7912011908366), np.float64(211.22687644679016))",156,주말,2,"['mean', 'median']"
246,신설동,하차,02시-03시,"Weibull(shape=3.399, scale=96.667)","(np.float64(3.39866339601147), np.float64(178.42492625071588), np.float64(96.66749805446503))",195,"Weibull(shape=3.763, scale=229.677)","(np.float64(3.7634041947959176), np.float64(76.98808650462308), np.float64(229.6771439300108))",154,주말,3,"['mean', 'median', 'mode']"
246,신설동,하차,03시-04시,"Triangular(min=172.619, mode=235.000, max=285.777)","(np.float64(0.551273135065049), np.float64(172.61886633805506), np.float64(113.15830518821636))",197,"Weibull(shape=4.450, scale=218.793)","(np.float64(4.450477806143512), np.float64(42.88996824156716), np.float64(218.79302806961414))",155,주말,2,"['mean', 'median']"
246,신설동,하차,04시-05시,"Weibull(shape=3.470, scale=62.971)","(np.float64(3.4699348790571607), np.float64(128.6172679450329), np.float64(62.97107474473745))",199,"Weibull(shape=5.297, scale=186.407)","(np.float64(5.297240404695685), np.float64(20.12469843792502), np.float64(186.40687266585468))",155,주말,3,"['mean', 'median', 'mode']"
247,도림천,하차,05시-06시,"Triangular(min=8.418, mode=16.000, max=22.336)","(np.float64(0.5447685848868873), np.float64(8.418319005753439), np.float64(13.9172507439484))",204,"Triangular(min=3.642, mode=7.000, max=23.712)","(np.float64(0.167331714324733), np.float64(3.641660196596715), np.float64(20.069953607155817))",156,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,06시-07시,"Triangular(min=0.000, mode=36.000, max=55.349)","(np.float64(0.6504133137579644), 0, np.float64(55.34942082712694))",208,"Triangular(min=0.000, mode=34.000, max=45.977)","(np.float64(0.7394939065996926), 0, np.float64(45.977390343192305))",154,평일,2,"['mean', 'median']"
247,도림천,하차,07시-08시,"Triangular(min=0.000, mode=180.000, max=229.416)","(np.float64(0.784601709058444), 0, np.float64(229.41576332628455))",208,"Triangular(min=2.993, mode=2.994, max=207.112)","(np.float64(4.360990701600555e-07), np.float64(2.99347874116979), np.float64(204.1188067427713))",150,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,08시-09시,"Triangular(min=0.000, mode=260.000, max=301.376)","(np.float64(0.86271055470834), 0, np.float64(301.3757031734324))",208,"Triangular(min=4.000, mode=4.000, max=313.830)","(np.float64(1.9747878285242762e-07), np.float64(3.999923782825859), np.float64(309.8304425040566))",150,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,09시-10시,"Lognormal(normalMean=3.883, normalStdDev=0.245)","(np.float64(0.24549875138202573), 34.77576663522891, np.float64(48.58252129745581))",158,"Triangular(min=1.650, mode=20.000, max=119.190)","(np.float64(0.15611413741853103), np.float64(1.6504919380905863), np.float64(117.5390542111407))",148,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,10시-11시,"Weibull(shape=2.318, scale=29.596)","(np.float64(2.3178533368144425), np.float64(32.56783775885954), np.float64(29.596328257191068))",156,"Weibull(shape=2.452, scale=47.180)","(np.float64(2.4518553129781004), np.float64(4.840794885723277), np.float64(47.180044033287686))",142,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,11시-12시,"Triangular(min=17.337, mode=47.000, max=96.392)","(np.float64(0.3752202839766442), np.float64(17.33675339931427), np.float64(79.05555191734047))",197,"Lognormal(normalMean=5.230, normalStdDev=0.084)","(np.float64(0.08353898030785632), -145.8406620814246, np.float64(186.70621824465093))",143,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,12시-13시,"Weibull(shape=3.611, scale=32.321)","(np.float64(3.6106654985378874), np.float64(38.36498859656626), np.float64(32.3207940524359))",190,"Triangular(min=0.000, mode=66.000, max=101.562)","(np.float64(0.649850928180146), 0, np.float64(101.56175383242757))",154,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,13시-14시,"Triangular(min=33.022, mode=51.000, max=76.585)","(np.float64(0.4126956559466777), np.float64(33.02150924210035), np.float64(43.56355701690073))",196,"Triangular(min=12.359, mode=55.000, max=83.778)","(np.float64(0.5970526742868205), np.float64(12.358695709562754), np.float64(71.41966885716508))",149,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,14시-15시,"Triangular(min=42.292, mode=72.000, max=92.565)","(np.float64(0.5909427660216953), np.float64(42.29157176975261), np.float64(50.27293797566213))",198,"Triangular(min=9.936, mode=64.000, max=99.105)","(np.float64(0.6063072151920563), np.float64(9.935761364071444), np.float64(89.1697101096824))",151,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,15시-16시,"Triangular(min=42.331, mode=63.000, max=83.723)","(np.float64(0.4993474252165937), np.float64(42.33123076836138), np.float64(41.39156065349533))",191,"Weibull(shape=3.518, scale=51.325)","(np.float64(3.518114640396313), np.float64(6.53172360503094), np.float64(51.32451386832709))",152,평일,2,"['mean', 'median']"
247,도림천,하차,16시-17시,"Triangular(min=40.895, mode=75.000, max=97.792)","(np.float64(0.5994199664101403), np.float64(40.894935076500246), np.float64(56.89680544087395))",191,"Weibull(shape=2.680, scale=53.340)","(np.float64(2.679983451540661), np.float64(9.191938775147621), np.float64(53.33954317066022))",151,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,17시-18시,"Triangular(min=37.457, mode=92.000, max=117.855)","(np.float64(0.6784108797303677), np.float64(37.45673265587037), np.float64(80.39857405799435))",203,"Gamma(alpha=4.391, beta=10.445)","(np.float64(4.39111216382063), np.float64(15.795658746957844), np.float64(10.445346631068032))",154,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,18시-19시,"Triangular(min=18.998, mode=139.000, max=187.059)","(np.float64(0.7140389304247752), np.float64(18.99762322370109), np.float64(168.06139225880196))",208,"Lognormal(normalMean=3.838, normalStdDev=0.561)","(np.float64(0.5607485114480472), 8.564487573397015, np.float64(46.43378892365983))",147,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,19시-20시,"Triangular(min=72.070, mode=107.000, max=146.430)","(np.float64(0.4697409166130634), np.float64(72.0696908653042), np.float64(74.36079743609872))",195,"Triangular(min=20.153, mode=34.000, max=128.695)","(np.float64(0.12757029331015343), np.float64(20.153322339174437), np.float64(108.54155228003305))",156,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,20시-21시,"Lognormal(normalMean=4.860, normalStdDev=0.082)","(np.float64(0.08226459518350984), -62.0830341468248, np.float64(129.02371239423812))",153,"Gamma(alpha=11.662, beta=3.978)","(np.float64(11.661842286851154), np.float64(-0.7948007314728189), np.float64(3.978221692808753))",142,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,21시-22시,"Gamma(alpha=9.902, beta=3.386)","(np.float64(9.90206040322488), np.float64(24.61578401716162), np.float64(3.3861309065297833))",165,"Weibull(shape=2.744, scale=28.079)","(np.float64(2.744378318150589), np.float64(18.955799239667574), np.float64(28.078631822352868))",138,평일,3,"['mean', 'median', 'mode']"
247,도림천,하차,22시-23시,"Gamma(alpha=79.148, beta=1.030)","(np.float64(79.14767815861163), np.float64(-31.842355034956512), np.float64(1.0304268877863632))",192,"Triangular(min=9.876, mode=32.000, max=68.835)","(np.float64(0.3752376275887257), np.float64(9.876373234749128), np.float64(58.95897729403198))",154,평일,3,"['mean', 'median', 'mode']"
